From,To,Similarity
"P0ZN Gear ratio, high geared",Multifunksjonsratt,0.037
KENWOOD MULTIMEDIA,Multifunksjonsratt,0.169
Mark Levinson Premium Sound System,Vinterhjul,0.063
Shift Lock,,0.0
2-sone klimaanlegg,Klimaanlegg,0.841
Parkeringssensor forran,Airbag foran,0.112
Tar forbehold om utilsiktede feil eller mangler i utstyrsliste!,Servostyring,0.084
BILEN VIL BLI LEVERT MED NY/GODKJENT EU KONTROLL,Sentrallås,0.08
Vindushevere med komfortfunksjon,Multifunksjonsratt,0.247
Adaptive bi- xenonlys m/led,,0.0
Businesspakke passat,,0.0
Rcd 510 mp3 8 høyttalere,,0.0
Sportspakke passat,Startsperre,0.227
Comfort Utgave.,Kjørecomputer,0.085
Varebil.,Oppvarmede seter,0.074
- Oppgradert lydpakke m/subwoofer,Radio FM,0.092
ABS-bremse,ABS-Bremser,0.965
P0E1 Short wheelbase,,0.0
P0VS Information kit in Norwegian,Airbag foran,0.033
P0Y3 Cold zones,,0.0
control and Coming Home feature,Kjørecomputer,0.068
braking / Nødbrems,ABS-Bremser,0.25
With rear view camera system,Sommerhjul,0.063
AMPLIFIER,,0.0
"*SUSPENSION SYSTEM,SPORT",ABS-Bremser,0.076
"*TIRE,COMPACT SPARE",Kjørecomputer,0.383
"*TRIM COMBINATION LEATHER, LT GRAY",Kjørecomputer,0.063
*TRIM INTERIOR DESIGN (K5),Vinterhjul,0.179
"*TRIM,LUGGAGE COMPARTMENT(DELUXE)",Kjørecomputer,0.102
"*UPHOLSTERY,LEATHER/VINYL",Vinterhjul,0.077
*VEHICLE STATEMENT(DELETE)(EXPORT);,Lettmet. felg vinter,0.07
"*WHEEL,CHROME",,0.0
36,,0.0
AND EUROPEAN GLAZING(EXPORT),Servostyring,0.017
With DVD drive and two SD card slots,,0.0
AND PASSENGER,Sentrallås,0.123
"CAP,HUB,INCLUDES COVERS AND RETAINERS",,0.0
COMPUTER SEL SUSP (6YP),Kjørecomputer,0.509
"CONT, AUX TEMP CONT",,0.0
CONTROL SALES ITEM NO. 8; CONTROL SALES ITEM NO.,Sentrallås,0.077
"DRIVER,PASSENGER",Sentrallås,0.088
"ELECTRONIC BODY SUPPORT CONTROLSEAT,FRONT",Sentrallås,0.039
"GLASS, MANUAL FOLD *TRANSMISSION,AUTOMATIC,OVERDRIVE(MERCHANDISI",Sentrallås,0.038
INSERT,ABS-Bremser,0.119
"*STRIPE,ACCENT(DELETE)",Elektriske speil,0.089
"*STEERING,POWER,VARIABLE EFFORT",Servostyring,0.098
"*STEERING WHEEL,LEATHER WRAPPED",Servostyring,0.051
*STEERING COLUMN(EXPORT),Servostyring,0.053
"*LAMP,SIGNALING AND MARKER(EXPORT)",Servostyring,0.017
"*LAMPS,REAR FOG; LAMP,TAIL AND STOP(EXPORT)",,0.0
*LOCK CONTROL REMOTE FREQ --- DELETE,Lettmet. felg vinter,0.096
"*ORNAMENTATION,EXTERIOR,BODY EMBLEM",Sentrallås,0.037
"*ORNAMENTATION,EXTERIOR,BODY SIDE",Sentrallås,0.04
"*ORNAMENTATION,EXTERIOR,REAR COMPARTMENT",Startsperre,0.12
"*ORNAMENTATION,EXTERIOR,SIDE WINDOW REVEAL",El.vinduer,0.037
"*ORNAMENTATION,INTERIOR(CUSTOM) *ORNAMENTATION,EXTERIOR,REAR WINDOW REVEAL",Vinterhjul,0.073
*OWNERS MANUAL(MERCHANDISING OPTION)(EXPORT),Sommerhjul,0.035
"*PROTECTOR WAX,EXT BODY(EXPORT)",,0.0
*RADIO FREQUENCY(EUROPEAN),Radio FM,0.294
"*RADIO,AM/FM STEREO,SEEK/SCAN",Radio FM,0.273
*RATIO TRANSAXLE FINAL DRIVE 3.71,Sentrallås,0.058
"*RESTRAINT SYSTEM,FRONT AND REAR",Sentrallås,0.067
"*RESTRAINT SYSTEM,FRONT SEAT,INFLATABLE,DRIVER",Sentrallås,0.048
"*ROOF,SUN,GLASS SLIDING,ELECTRIC",Elektriske speil,0.074
"*SEAT,FRONT BUCKET,DRIVER,PASSENGER WITH",Sentrallås,0.05
"*SEVILLE TOURING SEDAN ""STS""(MERCHANDISING",Servostyring,0.054
"*SPEEDOMETER,INSTRUMENT,KILOMETER(EXPORT) *SPEAKER SYSTEM,BOSE 4-SPEAKER,INCLUDES",Lettmet. felg vinter,0.077
JAPAN LABEL,,0.0
"KILOMETER,MECHANICAL DISPLAY",Oppvarmede seter,0.112
LID(EXPORT),,0.0
Automatgir TCT,,0.0
Radio/ CD-spiller,Radio FM,0.447
Radio DAB+ via TLF,Radio FM,0.593
2 reading lights in front,Radio FM,0.174
6 måneder Car protect eksklusiv garanti,Antispinn,0.126
8 speakers,Elektriske speil,0.089
Adaptive Cruise Control (Follow-to-Stop) and Speed Limiter,Servostyring,0.076
"Adaptive Cruise Control ACC incl. City Emergency Brake and ""Front Assist"", vehicle stop feature",Sentrallås,0.031
Comfort seats in front,Kjørecomputer,0.095
Forward collision warning incl. autonomous emergency,Sommerhjul,0.033
Glove compartment cooling system,Kjørecomputer,0.132
Interior ambient lighting and surround lighting,Vinterhjul,0.088
Interior lighting in footwell,Vinterhjul,0.119
LED headlamps,,0.0
"Multi-function display/trip computer ""Colour""",Kjørecomputer,0.316
Mørke ruter fra B Stolpe,Kjørecomputer,0.096
Park distance control,Sentrallås,0.072
Park distance control in front and rear,Sentrallås,0.058
Separate daytime running light with automatic headlight,Multifunksjonsratt,0.028
Windshield wiper intermittent control with light/rain sensor,Sentrallås,0.161
Blue &amp; Me AUX,Bluetooth,0.36
"Vinge/spoiler, karosserifarget",Servostyring,0.061
"MIRROR,INSIDE,REARVIEW,TILT,AUTOMATIC,LIGHT SENSITIVE",Sentrallås,0.041
Tofarget lakk,,0.0
MOLDING(DELUXE),Servostyring,0.021
MOLDING(USED WITH TOURING YP6),Servostyring,0.066
NG OPTION),,0.0
OPTION)(6KS69 + YP6= 6KY69),,0.0
"PLANT CODE - DETROIT/HAMTRAMCK, MI, BOC",Antispinn,0.05
REQUIREMENTS,ABS-Bremser,0.061
"SEAT,MANUAL(EUROPEAN)",,0.0
TELEFON90228606,Elektriske speil,0.035
TELEFON90519200,Elektriske speil,0.036
UTSTYR:,Servostyring,0.268
Carolight white,,0.0
Dashbord sort,,0.0
Frontfanger karosserifarget og kromdekor rundt tåkelys,ABS-Bremser,0.034
Girspak kule i skinn,Antispinn,0.063
Keyless (Nøkkelløs Bil),Sentrallås,0.172
Keyless Go (ADML),,0.0
Rød Purple - met.lakk,Lettmet. felg vinter,0.072
Sidespeil sort Caldera,Elektriske speil,0.226
Takfarge sort Caldera,,0.0
sportsseter,Oppvarmede seter,0.188
m-sport pakke,,0.0
Sun visor label North and East Europe,Isofix,0.12
DAB (Digital Audio Broadcasting),Radio FM,0.109
Car Model: Mondeo 2011-2014,,0.0
Cargo Hook in Cargo Area,,0.0
Centre Console: With Closed Compartment,Sentrallås,0.126
Child Proof Locks,,0.0
City Safety 1,,0.0
Conventional Instruments-Level 3,Sentrallås,0.078
Corporate Badge: Ford,Airbag foran,0.107
Cruise Control Speed Limiter,Klimaanlegg,0.076
Current Outside Temperature,Startsperre,0.173
"DAMPER STEERING WHEEL: Vibration Damper, 5cyl",Startsperre,0.089
Driver's Seat Back Mounted Map Pocket,Vinterhjul,0.046
DDS (Tire Pressure Sensor),Sentrallås,0.074
DTRL Daytime Running Lights,Servostyring,0.019
DW10C EURO 5 6 NORM,,0.0
Deluxe Headlining,Servostyring,0.023
Door Handle - Exterior: Body-Colored Exterior Door Handle,Vinterhjul,0.031
Door Locking Systems: With Central Locking,Sentrallås,0.214
Door Mirror Finish: With Body-Colored Exterior Mirror,Vinterhjul,0.018
Double Electric Heated Mirrors with Signal and Puddle Lights,Elektriske speil,0.064
Driver Impairment Monitor,Airbag foran,0.092
CDx6 + AM/FM Radio - High Level,Radio FM,0.358
Brakes-TS/HLA/ESP/TC/ABS,ABS-Bremser,0.083
"Brake Calipers And Pads: Front/Rear Caliper and Pad, Normal Load",Startsperre,0.076
Body-Colored Tailgate Handle,,0.0
2.0L 140PS Duratorq Common-rail Turbocharged RHC,Sommerhjul,0.051
"215/50 17"" W Rated BSW Tyre",Servostyring,0.074
6-Speed Powershift 6DCT450 - MPS6,Elektriske speil,0.036
80 Ah Battery,Multifunksjonsratt,0.082
: Exterior Paint - Clearcoat,Vinterhjul,0.079
: With Light Door Frame Moulding,Servostyring,0.021
A2DP (Advanced Audio Distribution Profile),Isofix,0.092
Accessory USB Unit: Media Center 1XUSB,Vinterhjul,0.064
Adjustable Foot Pedals: With Fixed Foot Pedals,Bluetooth,0.106
Aerodynamic Enhancements,Sentrallås,0.041
Air Curtain Restraint (RH/LH): Side Collision Curtain RH/LH,Airbag foran,0.047
Air Purifier: Pollen-/Carbon Filter,Airbag foran,0.075
Amplifier,,0.0
Anti-Lock Brakes: TS/HLA/ESP/TC/ABS,Antispinn,0.108
Automatic Headlamp Adjustment,Lettmet. felg vinter,0.083
Automatic Headlamp Control,Sentrallås,0.058
Automatic Windshield Wipers,Startsperre,0.063
Bluetooth 4.0,Bluetooth,1.0
Bluetooth Interface Connect: BT/VC Phone Interface + USB Port,Bluetooth,0.395
Driver's Air Bag,Airbag foran,0.345
"Dual Automatic Temperature Control, Air Conditioning",Airbag foran,0.074
TIlhengerfeste,,0.0
Headrest - Rear Center,Vinterhjul,0.101
Grill - Lower Dark,,0.0
Grille - Lower High Gloss Black,,0.0
Grille - Lower: High Gloss Insert,ABS-Bremser,0.052
Grille - Upper Black Mesh/Chrome,Startsperre,0.056
Grille - Upper: Black Mesh/Chrome,Startsperre,0.056
Header Mounted Map Reading Lamps: Individual Front and Rear Map Reading Lamps,Radio FM,0.128
Headlamp Washer,,0.0
Headlamps - Design: High-Intensity Headlamp,Vinterhjul,0.065
Headlinings: Deluxe,Servostyring,0.023
ICE Feature Pack: With In-Car Entertainment Package,Sentrallås,0.069
Electric Door Lock with Activation,Elektriske speil,0.091
In Car Entertainment: Mid-Level Audio,Radio FM,0.109
Inflatable Knee Pads - Driver,,0.0
Instrument Cluster Rheostat,Servostyring,0.096
Isofix Mounts,Isofix,0.697
Kysor Radiator Shutters,Radio FM,0.228
LED Lights with CAN-bus,,0.0
LED Rear Lights,,0.0
LED Technology Back,,0.0
LED Technology Front,,0.0
Glove Box Lamp,,0.0
Global Closing: With Automatic Window Closing,El.vinduer,0.031
General Stowage Box,Sentrallås,0.128
"Front Window Operation: Electric Front Windows, One-touch Up/Down",El.vinduer,0.055
Electric Horn Dual Tone,Elektriske speil,0.111
Electric Outlet,Elektriske speil,0.119
Electrically Powered Rearview Mirror,Elektriske speil,0.076
Engine Cover - Under Hood,,0.0
Engine Drag Torque Control (EDC),Sentrallås,0.049
Enhanced Interactive Vehicle Dynamics,Vinterhjul,0.103
Fresh Air Heater:,Airbag foran,0.151
Front Bumper Extension - Front-VP,Startsperre,0.056
Front Bumper Painted in Body Color,Vinterhjul,0.1
"Front Bumper Painted, Body Color",Vinterhjul,0.1
Front Bumper Sensor,Sentrallås,0.09
Front Door Sill Protection: Ford Oval,Airbag foran,0.039
Front Floor Mats,,0.0
Front Headrests: With 2-way Adjustable Front Headrests,Startsperre,0.027
Front Seat Belt Mounting: With Manual Adjustment of Front Seat Belt Mounting,Antispinn,0.092
Front Seat Type: With Single Front Seat with High Back,Servostyring,0.016
Front Spring Load Class: Class I,Servostyring,0.051
"Front Spring, Load Class X",Servostyring,0.07
Front Towing Hooks,Servostyring,0.024
2 Hinged Remote Control Keys,ABS-Bremser,0.057
Skinninteriør (Alcantara delskinn),Antispinn,0.142
Ambiente interiørbelysning,Vinterhjul,0.176
Ladekabel for ladeboks,Airbag foran,0.037
Setetrekk / trekk: stoff,Oppvarmede seter,0.085
Solskjermer med speil,Elektriske speil,0.231
Varmeisolerende glass med UV-beskyttelse,Oppvarmede seter,0.151
sidekollisjonspute,Kjørecomputer,0.158
Skuffesystem,,0.0
3 x Lastebøyler,,0.0
Lazer led fjernlys,,0.0
Elektronisk park brems,Elektriske speil,0.361
Frunck,,0.0
Navigasjon/kart,Multifunksjonsratt,0.084
Baksete med integrert barnesete,Oppvarmede seter,0.208
Parks sensor bak,Sentrallås,0.112
Romslig lite bagasjerom,Airbag foran,0.095
Stoff interiør,Vinterhjul,0.227
"15"" Alufelger sommer",Lettmet. felg sommer,0.497
BMW Assist,,0.0
BMW Online,,0.0
Extended BMW Online Information,Airbag foran,0.038
Roof rails aluminium satinated,,0.0
Sports-seter,Oppvarmede seter,0.188
Servostyring elektronisk styrt,Servostyring,0.779
Lydanlegg: radio med CD-spiller og 4 høyttalere,Radio FM,0.295
Lyd-/kortdatakontroller på rattet,Multifunksjonsratt,0.066
Kjøreassistentsystem: akustisk hastighetsvarslingssystem (hastighetsb,Kjørecomputer,0.069
Keyless start/stopp,Startsperre,0.281
Navi Business,,0.0
Type2 MODE3 ladekabel,,0.0
antall soner: 1,Sentrallås,0.128
antall: 4,Sentrallås,0.171
skinn,Antispinn,0.146
Oppvarming i seter foran,Oppvarmede seter,0.628
HUD,,0.0
Nedkjølbart hanskerom,Elektriske speil,0.083
Pioneer spiller,Antispinn,0.17
DAB+ ADAPTER (MEDFØLGER I ESKE),Elektriske speil,0.093
"S2G5 BMW LA Wheel, Turbine Styling 428",Servostyring,0.073
"S4U8 Rapid Charging, Alternating Current",Startsperre,0.088
S6NR Apps,,0.0
S7AQ Battery Certificate,Multifunksjonsratt,0.105
S7KX BMW I Interior Design Loft,Vinterhjul,0.125
SA020 20 Ah AGM Battery,Multifunksjonsratt,0.046
SPOLS Cloth Cushion,Bluetooth,0.095
Downhill,,0.0
Voice control,Sentrallås,0.076
Innvendig speil Avblendbart,Elektriske speil,0.179
Mlf-sportsratt,Multifunksjonsratt,0.185
Parkering assistanse,Servostyring,0.075
Connected drive services,Servostyring,0.128
Driving assistant plus,Antispinn,0.09
Dynamisk cruisekontroll,Sentrallås,0.055
Fully Charged Edition,,0.0
Harman Kardon Premium lydanlegg,Klimaanlegg,0.269
Kjøre assistanse,Kjørecomputer,0.225
LED bar fjernlys,,0.0
Navigasjon Professional,Multifunksjonsratt,0.074
PDC-Park distance control,Sentrallås,0.053
Suite interior design,Vinterhjul,0.15
Lys og Siktpakke,,0.0
El.Soltak,,0.0
Summum,,0.0
EU-godkjent og neste frist for godkjent EU-kontroll 30.11.2024,Sentrallås,0.077
Gode sommerdekk og vinterdekk,Sommerhjul,0.254
Meget pen og vedlikeholdt Auris med lav kilometerstand.,Oppvarmede seter,0.071
"18"" 10-eikers design sportspakke",Startsperre,0.163
Adaptiv cruise control teknikkpakke,Sentrallås,0.046
Audi side assist,,0.0
Lys-/regnsensor m/fjernlysassistent,Sentrallås,0.093
Comfort package advance,Kjørecomputer,0.07
Acoustic pedestrian protection,Oppvarmede seter,0.072
94Ah,,0.0
300Km/255Km Rekkevidde (NEDC/WLTP-Fabrikk oppgitt),Oppvarmede seter,0.035
Auto. dim. midtspeil,Elektriske speil,0.229
El.innfelbart speil,Elektriske speil,0.225
SmartLink,Startsperre,0.07
12 Volt uttak i bagasjerom,Airbag foran,0.109
El. innfelbare utvendige speil,Elektriske speil,0.186
R-Design alu pedaler,,0.0
R-Design eksteriør,Vinterhjul,0.04
R-Design interiør,Vinterhjul,0.199
R-Design speilhus,Elektriske speil,0.222
R-Design sportsintrumenter,Vinterhjul,0.134
R-Design takspoiler,,0.0
Bose,,0.0
Elektrisk Hard-Top,Elektriske speil,0.462
"17"" Alu. felger sommer",Lettmet. felg sommer,0.566
Radio/CD med DAB+,Radio FM,0.543
Nøkkelfritt låsesystem m/startknapp,Startsperre,0.129
Stort el soltak,,0.0
To-sone klima,Klimaanlegg,0.314
Høydejusterbart fremsete,ABS-Bremser,0.229
Leather Package Syracuse Doors,,0.0
Leather Package Syracuse Interior,Vinterhjul,0.106
Metallic Foot Pedals,Bluetooth,0.1
Dual side Supplemental Restraint System (SRS) airbags,Airbag foran,0.291
Drive-By-Wire (DBW),,0.0
Drive-by-wire gasspjeld,,0.0
Driver seatback pocket,,0.0
Driver vanity mirror with lid in sunshade,,0.0
Drivers foot rest,Bluetooth,0.135
Drivers seat armrest,Oppvarmede seter,0.067
Drivers seat height adjustment,Lettmet. felg vinter,0.087
Dual curtain Supplemental Restraint System (SRS) airbags front and rear,Airbag foran,0.246
Dual front Supplemental Restraint System (SRS) airbags,Airbag foran,0.289
Dual tone horn,,0.0
Europeisk fotgjengerbeskyttelse,Elektriske speil,0.091
Dynamic drive mode,,0.0
Dynamisk kjøremodus,Kjørecomputer,0.169
EBD (elektronisk bremsekraftfordeling),ABS-Bremser,0.209
Effektiv aircondition,Airbag foran,0.092
Electric power folding door mirrors,Elektriske speil,0.086
Elektrisk oppvarmede speil,Elektriske speil,0.68
Elektronisk bremsekraftfordeling,ABS-Bremser,0.218
Emergency Brake Assist,Sommerhjul,0.061
Entertainment Pack option attachment kit,Sentrallås,0.105
Door mounted glass rear hatch release,Vinterhjul,0.044
Doble frontairbager og ABS Forbedret,Airbag foran,0.369
"Dobbeltlykter, høyrekjøring (gassutladning) med integrerte fjernlyslykter",Vinterhjul,0.081
Digital odometer (A / B trip),Lettmet. felg vinter,0.096
Avansert ESP 4WD stabilitetsprogram),Startsperre,0.123
Bagasjeromslokk innenfra (elektrisk),Elektriske speil,0.305
Black side protection strips,Elektriske speil,0.054
Body colour bumpers,Startsperre,0.075
Body colour door handles,,0.0
Body colour door mirrors,,0.0
Body colour side protection strips,Elektriske speil,0.046
Boot integrated folding picnic table,Vinterhjul,0.082
Bygd for Norsk klima,Klimaanlegg,0.267
Central locking,Sentrallås,0.392
Chrome tail pipe garnish,,0.0
"City Pack Soft front grille guard, front skid plate, parking sensor and dashboard anti-slip mat set",Antiskrens,0.154
Climate controlled air conditioning with pollen filter,Klimaanlegg,0.103
Comfort and Convenience,Kjørecomputer,0.067
Cruisecontrol with Brake Function,Kjørecomputer,0.082
DVD Satellite Navigation with CD tuner,,0.0
"Demping bak, versjon for kjøring på dårlig vei og comfort",Kjørecomputer,0.113
Digital clock (built into audio system),Radio FM,0.114
Digital fuel consumption display,Antispinn,0.085
European pedestrian protection legislation,Oppvarmede seter,0.057
Executive Trim,Elektriske speil,0.059
Mini Roof Console with Sunglass Holder,Multifunksjonsratt,0.041
Honda Superlocks (deadlocks),Startsperre,0.046
Grill med to horisontale stenger,Isofix,0.133
Hard body colour spare wheel cover,,0.0
"Hardt, kroppsfarget reservehjuldeksel",Vinterhjul,0.123
Headlight washers,,0.0
Heated front seats,,0.0
Height adjustable front seat belts,Startsperre,0.045
High level rear brake light,,0.0
High security integrated audio,Radio FM,0.118
Honda K20A4 (i-VTEC) PNA,,0.0
ISOFix childseat restraint mechanism,Isofix,0.395
Executive Utyrspakke,Servostyring,0.062
Ikke minst Vehicle Stability Assist (VSA),Startsperre,0.041
Illuminated glove box,,0.0
Illuminated ignition switch,,0.0
Independently reclining rear seats,Kjørecomputer,0.077
Independently sliding rear seats,El.vinduer,0.043
Intelligent Variable Valve Timing and Lift Electronic Control,Vinterhjul,0.073
Interior and perimeter alarm system (CAT 1),Lettmet. felg vinter,0.188
Intermittent rear windscreen wiper,Vinterhjul,0.114
Internally adjustable headlight height,Vinterhjul,0.103
Glass electric tilt or slide sunroof with sunshade,Elektriske speil,0.067
Fuel filler release,Elektriske speil,0.053
Frontsetemonterte sideairbager,Airbag foran,0.339
Frontfanger med runde tåkelys,Oppvarmede seter,0.04
Exterior,Vinterhjul,0.054
External temperature gauge (built into odometer),Lettmet. felg vinter,0.105
Externally visible Vehicle Identification Number (VIN),Sentrallås,0.08
Femtrinns automatgir for 4WD Adaptive,Elektriske speil,0.041
Folding front centre storage tray,Sentrallås,0.168
Forbedret firehjulsdriftsystem,Vinterhjul,0.129
Fotgjengerbeskyttelsestiltak,,0.0
Front cupholders,,0.0
Front electric windows,Elektriske speil,0.109
Front foglights,,0.0
Front interior welcome light,Vinterhjul,0.136
Front mudguards,,0.0
Front passenger seat undertray,Sentrallås,0.142
Front seat belt buckle pre-tensioners,Antiskrens,0.048
Front seat belt pre-tensioners,Antiskrens,0.061
Front skid plate,,0.0
Front speakers,Elektriske speil,0.078
Front splash guard,,0.0
Front ventilated disc brakes,Antispinn,0.089
Avansert ESP,ABS-Bremser,0.081
Automat Multimatic-S girkasse,Multifunksjonsratt,0.168
Audible headlight on reminder,ABS-Bremser,0.052
With Chrome Fog Lamp Surround,,0.0
With 70 Liters Fuel Tank,Vinterhjul,0.039
With Additional Air Heater,Airbag foran,0.106
With Ashtray in Console,Sentrallås,0.072
With Automatic Headlamp Adjustment,Lettmet. felg vinter,0.08
With Automatic Headlamp On/Off,,0.0
With Automatic Windshield Wipers,Startsperre,0.061
With Cabin Lights in the Headliner,,0.0
With Cargo Hook in Cargo Area,,0.0
With Central Locking,Sentrallås,0.367
With Cooled Glove Box,,0.0
Adaptivt frontsystem,,0.0
With Daytime Running Lights,Servostyring,0.021
With Delayed Interior Light,Vinterhjul,0.139
With Dimmed Cabin Light,Sommerhjul,0.085
With Driver and Passenger Seat Belt Warning,Sentrallås,0.067
With Driver's Side Side Airbag,Airbag foran,0.435
With Electric Power Steering,Elektriske speil,0.107
With Electrochromatic Rearview Mirror,Elektriske speil,0.035
With Emergency Brake Assist,Sommerhjul,0.058
With Front Parking Assist,Servostyring,0.028
With 2-way Electrically Adjustable Driver's Seat,Elektriske speil,0.075
Welcome Lights by Pressing the Key,Kjørecomputer,0.063
Transmission with Sports Mode,Startsperre,0.071
Starter Motor - Stop/Start System,Startsperre,0.31
Nordic Edition,,0.0
Optimalise Engine,Klimaanlegg,0.082
Park Pilot,,0.0
Playstore Android,,0.0
Premium 9 Speaker Radio,Radio FM,0.441
Rear Bumper: Body-Colored Plastic Rear Bumper,Startsperre,0.082
Rear Fog Lights,,0.0
Rear Seat Belts: Retractable 3-point Rear Seat Belt,Sentrallås,0.044
Schematic Multifunction Display,Multifunksjonsratt,0.315
Servotronic /Comfort Sports Adaptive,Servostyring,0.212
Side Collision Curtain RH/LH,,0.0
Soft Multifunction Sports Steering Wheel,Multifunksjonsratt,0.332
Speed Control: Auto Cruise Control and Adjustable Speed Limiter,Startsperre,0.096
Speed Sign Recognition,Kjørecomputer,0.184
Sport Comfort Seats,Kjørecomputer,0.089
Sports Front Seat,Startsperre,0.115
Sports Suspension,Startsperre,0.151
Standard Design on Foot Pedal,Bluetooth,0.096
Standard Front Seat,Startsperre,0.069
With Gloss Black Grill,,0.0
With Grill No. 1 in Material Color,Vinterhjul,0.033
With Heated Driver and Passenger Seats,Sentrallås,0.07
Fotbrønnlys,,0.0
Premium dørkledninginnlegg,Klimaanlegg,0.186
Underholdningspakke,Vinterhjul,0.09
El. sete m. memory,Oppvarmede seter,0.145
El. soltak,,0.0
Hundegitter,Vinterhjul,0.034
Premium Sound lydanlegg,Klimaanlegg,0.313
Dsg automatgir,,0.0
Cold zones,,0.0
Cruise control system (CCS),Sentrallås,0.067
Dynamic headlight range control (self-adjusting while driving),Vinterhjul,0.043
