,From,To,Similarity
14097,kjøleboks,,0.0
14098,"000831 high performance multimedia 7""skjerm",multifunksjonsratt,0.121
14099,"mcs17 / 000831 high performance multimedia/dvd m/7""skjerm",multifunksjonsratt,0.097
14100,interior air qualtiy system,skinninteriør,0.172
14101,interior air quality system,skinninteriør,0.183
14102,mc02 interior air quality system,skinninteriør,0.152
14103,bagasjenett / bag på forseteryggen,ryggekamera,0.232
14104,bagasjenett på forseteryggen,ryggekamera,0.25
14105,avtagbar,regulerbart ratt,0.062
14106,avtagbart,regulerbart ratt,0.119
14107,norsk språk instrumenter,fjernstyrt sentrallås,0.09
14108,000894 norsk språk instrumenter,fjernstyrt sentrallås,0.069
14109,"vision cannon 8,7""",xenonlys,0.161
14110,"vision cannon 6,7""",xenonlys,0.161
14111,pollen- /støvfilter,pollenfilter,0.565
14112,mc01 pollen- /støvfilter,pollenfilter,0.49
14113,spiller for 1 cd m/mp3,cd-spiller,0.537
14114,k104 spiller for 1 cd m/mp3,cd-spiller,0.427
14115,pg0c 5-speed manual transmission,sentrallås,0.054
14116,pg0k 6-speed manual transmission,sentrallås,0.054
14117,235 active park assist,parkeringsensor bak,0.144
14118,235 aktiv parkassist,parkeringsensor bak,0.127
14119,s698 retningsnummer 2 for dvd,sommerdekk,0.102
14120,698retningsnummer 2 for dvd,sommerdekk,0.094
14121,"275 minnepakke (førersete, strg. col., speil)",lakkerte utvendige speil,0.195
14122,"275 minnepakke (førersete, strg, co, speil)",lakkerte utvendige speil,0.201
14123,2u8 kjølemiddel alternativt,midtarmlene,0.08
14124,2u8 kjølemiddel alternativ,midtarmlene,0.083
14125,2palåsende hjulbolt,vinterhjul,0.185
14126,s2pa låsende hjulbolt,vinterhjul,0.198
14127,s431 innvendig speil med automatisk-dip,lakkerte utvendige speil,0.286
14128,431innvendig speil med automatisk-dip,lakkerte utvendige speil,0.272
14129,s494 setevarme sjåfør/passasjer,oppvarmede seter,0.202
14130,setevarme sjåfør/passasjer,oppvarmede seter,0.224
14131,534 automatisk klimanlegg,klimaanlegg,0.566
14132,534 automatisk klimaanlegg,klimaanlegg,0.748
14133,279 electronic gear range selection,air condition,0.078
14134,- electronic gear range selection,air condition,0.084
14135,279 electronic gear selector,elektriske speil,0.076
14136,9z0 op. voltage 12 v w/o switching control,cruisekontroll,0.143
14137,op. voltage 12 v w/o switching control,cruisekontroll,0.154
14138,windshield with heat-insulating glass,handsfree opplegg,0.047
14139,windshield in heat-insulating glass,handsfree opplegg,0.048
14140,p4gq windshield in heat-insulating glass,handsfree opplegg,0.044
14141,"left exterior mirror, aspherical",skinninteriør,0.088
14142,"265 left exterior mirror glass, aspherical",skinninteriør,0.08
14143,"p5sl left exterior mirror, aspherical",skinninteriør,0.079
14144,d0d 6-cyl. biturbo 2.9/243 kw (v6),,0.0
14145,6-cyl. biturbo 2.9/243 kw (v6,,0.0
14146,7m9 door sill guards in brushed aluminium with model logo,cd-spiller,0.054
14147,door sill guards in brushed aluminium with model logo,cd-spiller,0.056
14148,"7al alarmanl,irue,backuphorn,neigungsg.",alarm,0.242
14149,"alarmanl,irue,backuphorn,neigungsg.",alarm,0.248
14150,"4i6 zv ""keyless-go"" (rdw)",,0.0
14151,"zv ""keyless-go"" (rdw)",,0.0
14152,a09 co2 offensive,antiskrens,0.06
14153,- co2 offensive,antiskrens,0.067
14154,sport steering wheel,parkeringsensor bak,0.13
14155,sports steering wheel,parkeringsensor bak,0.124
14156,275 - memory pakke,elektrisk sete m. memory,0.491
14157,275 memory pakke,elektrisk sete m. memory,0.491
14158,standard suspension,startsperre,0.116
14159,with standard suspension,startsperre,0.109
14160,1p0 standard suspension,startsperre,0.102
14161,vk4 air outlet grilles painted in black (high-gloss),lettmet. felg vinter,0.124
14162,air outlet grilles painted in black (high-gloss),lettmet. felg vinter,0.132
14163,"tv8 comp., basic engine 06m.a (v6 2.9 bt)",kjørecomputer,0.127
14164,"comp., basic engine 06m.a (v6 2.9 bt)",kjørecomputer,0.14
14165,"qj5 alum. package, black (blackline) matt",klimaanlegg,0.065
14166,"alum. package, black (blackline) matt",klimaanlegg,0.069
14167,230 v strømuttak i midtkonsoll,midtarmlene,0.172
14168,230v uttak i midtkonsoll,midtarmlene,0.193
14169,230v uttak midtkonsoll bak,midtarmlene,0.19
14170,• alufelg vinter,lettmet. felg vinter,0.458
14171,alu felg vinter,lettmet. felg vinter,0.574
14172,011b geschwindigkeitsregelanlage,lakkerte utvendige speil,0.067
14173,011c geschwindigkeitsregelanlage,lakkerte utvendige speil,0.067
14174,keyless entry&amp;drive,sentrallås,0.085
14175,keyless entry &amp; drive,sentrallås,0.125
14176,alu. felger sommer,lettmet. felg sommer,0.576
14177,alu felg sommer,lettmet. felg sommer,0.65
14178,• alufelg sommer,lettmet. felg sommer,0.545
14179,driver impairment monitor overvåkingsfunk. for førerhindring,parkeringsensor foran,0.091
14180,driver impairment monitor: overvåkingsfunk. for førerhindring,parkeringsensor foran,0.091
14181,0663 radio bmw professional,radio fm,0.391
14182,663 radio bmw professional,radio fm,0.426
14183,01ag larger fuel tank,alarm,0.198
14184,1ag larger fuel tank,alarm,0.216
14185,s01ag larger fuel tank,alarm,0.185
14186,bi-xenon frontlykter med dynamisk kurvelys,xenonlys,0.317
14187,bi-xenon frontlykter med kurvelys,xenonlys,0.35
14188,interiør: lær vienna (inkl. setevarme foran),oppvarmede seter,0.26
14189,interiør: skinn r-line vienna (inkl. setevarme foran),skinninteriør,0.383
14190,m carbon ceramic brake,ryggekamera,0.066
14191,- m carbon ceramic brake,ryggekamera,0.066
14192,r78 electric heater for a/c,elektriske speil,0.114
14193,electric heater for a/c,elektriske speil,0.135
14194,lang utgave,aux-inngang,0.086
14195,lang utgave.,aux-inngang,0.086
14196,544 cruisecontrol med bremsefunksjon,cruisekontroll,0.376
14197,544 cruisecontroll med bremsefunksjon,cruisekontroll,0.414
14198,6flusb/lydgrensesnitt,antiskrens,0.108
14199,usb/lydgrensesnitt,antiskrens,0.122
14200,s6fl usb/lydgrensesnitt,antiskrens,0.109
14201,adaptive ledlys,xenonlys,0.077
14202,- adaptive led-lys,xenonlys,0.077
14203,s7lc modell advantage,antispinn,0.062
14204,7lc modell advantage,antispinn,0.067
14205,høyde/lengdejusterbart passasjersete,regulerbart ratt,0.182
14206,nj03 høyde/lengdejusterbart passasjersete,regulerbart ratt,0.161
14207,213 parameterstyring,servostyring,0.324
14208,213 sport parameterstyring,servostyring,0.305
14209,jalousie over koppholdere i midtkonsoll,midtarmlene,0.142
14210,mz02 jalousie over koppholdere i midtkonsoll,midtarmlene,0.129
14211,"klimaanlegg, elektronisk m/nedkjølt hanskerom",klimaanlegg,0.503
14212,"ed01 klimaanlegg, elektronisk m/nedkjølt hanskerom",klimaanlegg,0.467
14213,kollisjonspute (bak panser utvendig) for fotgjengere,lakkerte utvendige speil,0.279
14214,ez02 kollisjonspute (bak panser utvendig) for fotgjengere,lakkerte utvendige speil,0.252
14215,kromringer rundt klima- og radiokontroller,radio fm,0.306
14216,0077 kromringer rundt klima- og radiokontroller,radio fm,0.283
14217,flk luksus-flerbruksbil,regulerbart ratt,0.077
14218,ik3 luksusflerbruksbil,regulerbart ratt,0.077
14219,05ak led light elements,sentrallås,0.052
14220,led light elements,sentrallås,0.067
14221,sports komfortseter,startsperre,0.149
14222,sports komfort seter,skinnseter,0.179
14223,w475black sapphire metallic ( 475 ),metallic lakk,0.329
14224,black sapphire metallic (475),metallic lakk,0.436
14225,w475 black sapphire metallic ( 475 ),metallic lakk,0.363
14226,justerbare bakseterygger,ryggekamera,0.276
14227,justerbar bakseterygg,regulerbart ratt,0.209
14228,2g1 insert f. unleaded fuelling,skinnseter,0.093
14229,insert f. unleaded fuelling,skinnseter,0.103
14230,weight class 4 ra,,0.0
14231,weight class 4 fa,,0.0
14232,city safety sikkerhetssystem for lav hastighet,navigasjonssystem,0.156
14233,city safety: sikkerhetssystem for lav hastighet,navigasjonssystem,0.156
14234,900387 norsk instrumentpanel,fjernstyrt sentrallås,0.067
14235,900387 norsk instrument panel,fjernstyrt sentrallås,0.071
14236,norsk instrumentpanel,fjernstyrt sentrallås,0.086
14237,vh2 48 v island-board veh. el. system,navigasjonssystem,0.124
14238,vh0 w/o 48 v island-board veh. el. system,navigasjonssystem,0.125
14239,6k4 front assist mit city notbremsfunktion,abs-bremser,0.144
14240,front assist mit city notbremsfunktion,abs-bremser,0.153
14241,6k2 front assist mit city-notbremsfunktion,abs-bremser,0.131
14242,7x1 einparkhilfe hinten,parkeringsensor bak,0.082
14243,7x2 einparkhilfe vorn/hinten,parkeringsensor bak,0.07
14244,tåkebaklampe,parkeringsensor bak,0.048
14245,8tb tåkebaklampe,parkeringsensor bak,0.042
14246,eu til januar 2026,,0.0
14247,eu til jan 2026,,0.0
14248,494 u.s. version,air condition,0.072
14249,u.s. version,air condition,0.09
14250,494. us version,air condition,0.072
14251,zy0 designo vehicle,,0.0
14252,designo vehicle,,0.0
14253,-launch control,cruisekontroll,0.202
14254,launch control,cruisekontroll,0.202
14255,"38"" komplett hjulsett",lettmet. felg vinter,0.26
14256,"40"" komplett hjulsett",lettmet. felg vinter,0.26
14257,kommende: autostyring i bygater,servostyring,0.352
14258,kommende:autostyring i bygater,servostyring,0.323
14259,"w72 heat-insulating, dark tinted glass",vinterdekk,0.075
14260,"- heat-insulating, dark-tinted glass",vinterdekk,0.076
14261,sensorer for åpning/lukking av bagasjelokk,parkeringsensor foran,0.215
14262,sensorer for åpning / lukking av bagasjerom,parkeringsensor foran,0.255
14263,kjørelys på dagtid justeres via lysmeny,kjørecomputer,0.133
14264,s8tn kjørelys på dagtid justeres via lysmeny,kjørecomputer,0.123
14265,additional 12v power socket,air condition,0.287
14266,575 additional 12v power socket,air condition,0.271
14267,cruise control with braking function,cruisekontroll,0.436
14268,544 cruise control with braking function,cruisekontroll,0.411
14269,enhanced telephony with extended smartphone connectivity,handsfree opplegg,0.044
14270,s06ns enhanced telephony with extended smartphone connectivity,handsfree opplegg,0.041
14271,rear view camera,ryggekamera,0.258
14272,rear-view camera,ryggekamera,0.218
14273,lydvarsel for traffikoppmerksomhet cruise,cruisekontroll,0.186
14274,lydvarsel for trafikkoppmerksomhet cruise,cruisekontroll,0.187
14275,f177 model series 177,diesel-partikkelfilter,0.056
14276,f167 model series 167,diesel-partikkelfilter,0.055
14277,f176 - model series 176,diesel-partikkelfilter,0.055
14278,f216 model series 216,diesel-partikkelfilter,0.059
14279,pau mbux-pakke,lakkerte utvendige speil,0.079
14280,pau mbux-pakker,lakkerte utvendige speil,0.124
14281,brake calipers painted in orange,airbag foran,0.129
14282,brake calipers painted in red,vinterdekk,0.104
14283,475 lufttrykkskontroll (rdk),cruisekontroll,0.231
14284,475 lufttrykkkontroll (rdk),cruisekontroll,0.235
14285,475 lufttrykks kontroll(rdk),cruisekontroll,0.222
14286,"21"" amg felger",lettmet. felg vinter,0.269
14287,"20"" amg felger.",lettmet. felg vinter,0.269
14288,"21"" amg felg",lettmet. felg vinter,0.342
14289,"20"" amg-felger",lettmet. felg vinter,0.169
14290,m performance bremser,abs-bremser,0.366
14291,performance bremser,abs-bremser,0.366
14292,"902 comfort seat heating, front f1",kjørecomputer,0.068
14293,902 comfort seat heating front,kjørecomputer,0.068
14294,* lift system,navigasjonssystem,0.246
14295,lift system,navigasjonssystem,0.246
14296,lifting system,navigasjonssystem,0.19
14297,- high emotion low emission,air condition,0.142
14298,hele high emotionlow emission,xenonlys,0.124
14299,amg ride control,cruisekontroll,0.271
14300,- amg ride control,cruisekontroll,0.271
14301,zsb supercharged,startsperre,0.068
14302,supercharged,startsperre,0.076
14303,s6fv online entertainment,xenonlys,0.12
14304,6fv - online entertainment,xenonlys,0.128
14305,premium obsidian black metallic (pmbl) lakk,metallic lakk,0.498
14306,premium obsidian black metallic (pmbl) paint,metallic lakk,0.352
14307,494 varmeseter foran,oppvarmede seter,0.362
14308,494 varme seter foran,oppvarmede seter,0.425
14309,494 varme i seter foran,oppvarmede seter,0.425
14310,privacy glass (dark-tinted windows),vinterdekk,0.082
14311,ql5 privacy glass (dark-tinted windows),vinterdekk,0.077
14312,part set without country-specific prescriptive standard,startsperre,0.094
14313,pb0a part set without country-specific prescriptive standard,startsperre,0.088
14314,mmi navigation plus with mmi touch response,navigasjonssystem,0.267
14315,7ug p nav mmi navigation plus with mmi touch response,navigasjonssystem,0.291
14316,06uk night vision med objekt gjenkjennelse,elektriske speil,0.039
14317,6uk night vision med objektsgjenkjenning,skinninteriør,0.122
14318,03fw bmw lt-all.wheel dbl.spoke 868m std hp,metallic lakk,0.091
14319,03fw bmw lt-all.wheel dbl.spoke 868m std,metallic lakk,0.091
14320,p0jn weight category front axle weight range 13,elektrisk sete m. memory,0.055
14321,p0jf  weight category front axle weight range 6,elektrisk sete m. memory,0.055
14322,4adinterior trim strips&amp;&amp; brushed aluminium,skinninteriør,0.105
14323,4ad interior trim strips&amp;&amp; brushed aluminium,skinninteriør,0.107
14324,475 black sapphire metallic ( 475 ),metallic lakk,0.385
14325,y475 black sapphire metallic ( 475 ),metallic lakk,0.36
14326,"s3l8 exterior equipment, aluminium, satinised",cruisekontroll,0.046
14327,"exterior equipment, aluminium, satinised",cruisekontroll,0.051
14328,hybriddriftsystem phev,navigasjonssystem,0.114
14329,- hybriddriftsystem phev,navigasjonssystem,0.114
14330,ambient lighting package,sideairbager,0.056
14331,ambient lighting package plus,sideairbager,0.053
14332,ambient light package,sideairbager,0.063
14333,"s4nd instrument panel, leather-covered",fjernstyrt sentrallås,0.064
14334,"4nd instrument panel, leather-covered",fjernstyrt sentrallås,0.068
14335,"instrument panel, leather-covered",fjernstyrt sentrallås,0.072
14336,"svingbart tilhengerfeste, manuelt",regulerbart ratt,0.076
14337,"1d4 svingbart tilhengerfeste, manuelt",regulerbart ratt,0.071
14338,barnesetefeste,skinnseter,0.116
14339,3b3 barnesetefeste,skinnseter,0.101
14340,enhanced autopilot 2.5,cd-spiller,0.116
14341,enhanced autopilot,cd-spiller,0.116
14342,led-hovedlykter høyrekjøring + dyn. adaptive lys,kjørecomputer,0.074
14343,- led-hovedlykter venstrekjøring + dyn. adaptive lys,parkeringsensor bak,0.079
14344,adaptiv luftfjæring,parkeringsensor bak,0.064
14345,adaptive luftfjæring,parkeringsensor bak,0.063
14346,adaptiv fjæring,parkeringsensor bak,0.086
14347,pasm adaptiv luftfjæring,parkeringsensor bak,0.058
14348,21-inch 911 turbo design wheels,,0.0
14349,44e 21-inch 911 turbo design wheels,,0.0
14350,4u7 spennings innbrudssikrings start-stop,startsperre,0.191
14351,spennings innbrudssikrings start-stop,startsperre,0.198
14352,806 modellår 2016,,0.0
14353,805 modellår 2015,,0.0
14354,803 modellår 2013,,0.0
14355,automatisk start/stopp funksjon,multifunksjonsratt,0.304
14356,automatisk start/stop funksjon,multifunksjonsratt,0.312
14357,dashbord med ekte lær,elektriske speil,0.071
14358,dashbord i ekte lær,elektriske speil,0.073
14359,s2vpa adaptive suspension package dynamic,antiskrens,0.043
14360,s2vp adaptive suspension package dynamic,antiskrens,0.045
14361,adaptive suspension package dynamic,antiskrens,0.05
14362,02vp adaptive suspension package dynamic,antiskrens,0.045
14363,"19"" slipstream teslafelger sommer",lettmet. felg sommer,0.308
14364,"19"" slipstream teslafelger vinter",lettmet. felg vinter,0.242
14365,14-veis elektrisk justerbare forseter med minne,elektrisk sete m. memory,0.347
14366,18 veis elektrisk justerbare seter med minne,elektrisk sete m. memory,0.416
14367,22 veis elektriske justerbare seter m/minne,elektriske speil,0.459
14368,parkeringskamera 360-grader,parkeringsensor bak,0.322
14369,parkeringskamera 360 grader,parkeringsensor bak,0.363
14370,sound package 2 / high-end sound system,navigasjonssystem,0.123
14371,9vl sound package 2 / high-end sound system,navigasjonssystem,0.116
14372,st-line emblem,,0.0
14373,st-line emblemer,sommerdekk,0.057
14374,premium lydsystem,navigasjonssystem,0.169
14375,810 premium lydsystem,navigasjonssystem,0.155
14376,premium hifi lydsystem,navigasjonssystem,0.152
14377,bose premium lydsystem,navigasjonssystem,0.151
14378,"772 amg stylingpakke-frontspoiler, sideskjørt",airbag foran side,0.087
14379,"772 amg styling pakke-front spoiler, sideskjørt",airbag foran side,0.098
14380,266 distronic plus kryssassistanse,skinnseter,0.09
14381,266 distronic plus sideassistanse,sideairbager,0.21
14382,16 t aluminiumfelg,lettmet. felg vinter,0.155
14383,18t aluminumfelg,lettmet. felg vinter,0.137
